idx,date,code,company,title,target,opinion,analyst,broker
633730,2024-08-12,000370,한화손해보험,비용 감소에 따른 어닝 서프라이즈 시현 한화손해보험(000370) 비용 감소에 따른 어닝 서프라이즈 시현 비용 감소에 따른 어닝 서프라이즈 시현,6400,Hold,"김도하,권지우",한화투자증권
633727,2024-08-12,161890,한국콜마,혼을 불어넣은 실적 서프라이즈 한국콜마(161890) 혼을 불어넣은 실적 서프라이즈 혼을 불어넣은 실적 서프라이즈,90000,Buy,이승은,유안타증권
633725,2024-08-12,030200,KT,큰 그림은 그대로 KT(030200) 큰 그림은 그대로 큰 그림은 그대로,44000,Buy,이승웅,유안타증권
633724,2024-08-12,035420,NAVER,AI로 효율성 증대 NAVER(035420) AI로 효율성 증대 AI로 효율성 증대,240000,Buy,이창영,유안타증권
633722,2024-08-12,028050,삼성E&A,"NDR 키워드: 실적, 수주, 주주환원 삼성E&A(028050) NDR 키워드: 실적, 수주, 주주환원 NDR 키워드: 실적, 수주, 주주환원",38000,Buy,장윤석,유안타증권
633720,2024-08-12,000120,CJ대한통운,CL부문의 성장 및 수익성 개선 CJ대한통운(000120) CL부문의 성장 및 수익성 개선 CL부문의 성장 및 수익성 개선,150000,Buy,"양지환,이지니",대신증권
633719,2024-08-12,043150,바텍,시장 우려 속에서도 성장 잠재력 확인 바텍(043150) 시장 우려 속에서도 성장 잠재력 확인 시장 우려 속에서도 성장 잠재력 확인,40000,Buy,한송협,대신증권
633716,2024-08-12,035720,카카오,자회사 옥석 가리기 카카오(035720) 자회사 옥석 가리기 자회사 옥석 가리기,55000,매수,남효지,SK증권
633713,2024-08-12,035420,NAVER,광고가 회복되기 시작하면 나타나는 현상 NAVER(035420) 광고가 회복되기 시작하면 나타나는 현상 광고가 회복되기 시작하면 나타나는 현상,240000,매수,남효지,SK증권
633702,2024-08-12,006800,미래에셋증권,2Q24 Review: 평가손실 축소 이익 개선 긍정적 미래에셋증권(006800) 2Q24 Review: 평가손실 축소 이익 개선 긍정적 2Q24 Review: 평가손실 축소 이익 개선 긍정적,8400,Trading Buy,우도형,IBK투자증권
633700,2024-08-12,228850,레이언스,2Q24 Review: 다소 부진한 실적 레이언스(228850) 2Q24 Review: 다소 부진한 실적 2Q24 Review: 다소 부진한 실적,10000,Buy,정홍식,LS증권
633699,2024-08-12,043150,바텍,2Q24 Review: 기대치 하회 바텍(043150) 2Q24 Review: 기대치 하회 2Q24 Review: 기대치 하회,35000,Buy,정홍식,LS증권
633698,2024-08-12,016360,삼성증권,호실적 기조 바탕으로 밸류업 기대감 지속 삼성증권(016360) 호실적 기조 바탕으로 밸류업 기대감 지속 호실적 기조 바탕으로 밸류업 기대감 지속,53000,Buy,전배승,LS증권
633697,2024-08-12,097520,엠씨넥스,어려운 업황에도 실적 개선 엠씨넥스(097520) 어려운 업황에도 실적 개선 어려운 업황에도 실적 개선,32000,Buy,김광수,LS증권
633696,2024-08-12,036460,한국가스공사,동해 가스전 이슈에 요금인상 모멘텀 매몰 한국가스공사(036460) 동해 가스전 이슈에 요금인상 모멘텀 매몰 동해 가스전 이슈에 요금인상 모멘텀 매몰,45000,Hold,성종화,LS증권
633694,2024-08-12,000120,CJ대한통운,2Q24 Review: CL CLASS CJ대한통운(000120) 2Q24 Review: CL CLASS 2Q24 Review: CL CLASS,159000,Buy,이재혁,LS증권
633693,2024-08-12,030520,한글과컴퓨터,"2Q24 Review: 하반기 AI, 클라우드 본격 확대 기대 한글과컴퓨터(030520) 2Q24 Review: 하반기 AI, 클라우드 본격 확대 기대 2Q24 Review: 하반기 AI, 클라우드 본격 확대 기대",25000,Buy,박종선,유진투자증권
633692,2024-08-12,035420,NAVER,이익 우상향은 계속 된다 NAVER(035420) 이익 우상향은 계속 된다 이익 우상향은 계속 된다,240000,Buy,정의훈,유진투자증권
633691,2024-08-12,036460,한국가스공사,탄탄한 펀더멘털 × 가스전 테마 한국가스공사(036460) 탄탄한 펀더멘털 × 가스전 테마 탄탄한 펀더멘털 × 가스전 테마,83000,Strong Buy,황성현,유진투자증권
633690,2024-08-12,043150,바텍,"2Q24 Review: 북미, 남미 지역 매출 성장 유지. Valuation 매력 보유 바텍(043150) 2Q24 Review: 북미, 남미 지역 매출 성장 유지. Valuation 매력 보유 2Q24 Review: 북미, 남미 지역 매출 성장 유지. Valuation 매력 보유",37000,Buy,박종선,유진투자증권
633689,2024-08-12,054450,텔레칩스,2Q24 Review: R&D 투자 확대 수혜는 내년을 기대 텔레칩스(054450) 2Q24 Review: R&D 투자 확대 수혜는 내년을 기대 2Q24 Review: R&D 투자 확대 수혜는 내년을 기대,21000,Buy,박종선,유진투자증권
