idx,date,code,company,title,target,opinion,analyst,broker,price_at,price_h,ret_6m,mkt_ret_6m,excess_6m,target_acc,target_hit,upside_at_pub,acc180,acc180,acc365
646099,2026-01-27,010950,S-Oil,2028년까지 견조한 정유 수급 사이클 기대 S-Oil(010950) 2028년까지 견조한 정유 수급 사이클 기대 2028년까지 견조한 정유 수급 사이클 기대,130000,Buy,"이용욱,고예진",한화투자증권,101500.0,151200.0,0.4897,0.3158,0.1739,0.8369,1,0.2808,0.8369,0.8369,
646098,2026-01-27,081660,미스토홀딩스,4Q25 Preview : 아쿠쉬네트 지분 가치만 4조원 미스토홀딩스(081660) 4Q25 Preview : 아쿠쉬네트 지분 가치만 4조원 4Q25 Preview : 아쿠쉬네트 지분 가치만 4조원,68000,Buy,"이진협,김나우",한화투자증권,45250.0,44450.0,-0.0177,0.3158,-0.3335,0.6537,0,0.5028,0.6537,0.6537,
646094,2026-01-27,011070,LG이노텍,4Q25 Review: 외형 합격. 훼손되지 않은 본질 LG이노텍(011070) 4Q25 Review: 외형 합격. 훼손되지 않은 본질 4Q25 Review: 외형 합격. 훼손되지 않은 본질,330000,Buy,고선영,유안타증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.1061,1,0.2816,0.1061,0.1061,
646093,2026-01-27,105560,KB금융,성장은 증권이 책임진다 KB금융(105560) 성장은 증권이 책임진다 성장은 증권이 책임진다,168000,Buy,우도형,유안타증권,143000.0,171500.0,0.1993,0.3158,-0.1165,0.9792,1,0.1748,0.9792,0.9792,
646092,2026-01-27,039490,키움증권,변동성 확대 구간의 수혜주 키움증권(039490) 변동성 확대 구간의 수혜주 변동성 확대 구간의 수혜주,450000,Buy,우도형,유안타증권,390500.0,298500.0,-0.2356,0.3158,-0.5514,0.6633,0,0.1524,0.6633,0.6633,
646084,2026-01-27,006280,녹십자,4Q25 Re: 4분기 흑자전환 성공 녹십자(006280) 4Q25 Re: 4분기 흑자전환 성공 4Q25 Re: 4분기 흑자전환 성공,200000,매수,이선경,SK증권,172500.0,123700.0,-0.2829,0.3158,-0.5987,0.6185,0,0.1594,0.6185,0.6185,
646083,2026-01-27,011070,LG이노텍,전방 수요 불확실성 vs 카메라 업그레이드 모멘텀 LG이노텍(011070) 전방 수요 불확실성 vs 카메라 업그레이드 모멘텀 전방 수요 불확실성 vs 카메라 업그레이드 모멘텀,350000,매수,박형우,SK증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.2143,1,0.3592,0.2143,0.2143,
646082,2026-01-27,195870,해성디에스,4Q 컨센서스 Beat는 빙산의 일각 해성디에스(195870) 4Q 컨센서스 Beat는 빙산의 일각 4Q 컨센서스 Beat는 빙산의 일각,72000,매수,권민규,SK증권,58300.0,49500.0,-0.1509,0.3158,-0.4667,0.6875,0,0.235,0.6875,0.6875,
646080,2026-01-27,010140,삼성중공업,4Q25 Pre: 4분기는 내가 주인공 삼성중공업(010140) 4Q25 Pre: 4분기는 내가 주인공 4Q25 Pre: 4분기는 내가 주인공,36000,매수,오지훈,IBK투자증권,30300.0,22900.0,-0.2442,0.3158,-0.56,0.6361,0,0.1881,0.6361,0.6361,
646079,2026-01-27,054950,제이브이엠,2026년 하반기를 기대한다 제이브이엠(054950) 2026년 하반기를 기대한다 2026년 하반기를 기대한다,35000,매수,이건재,IBK투자증권,25400.0,22200.0,-0.126,0.3158,-0.4418,0.6343,0,0.378,0.6343,0.6343,
