pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
44,hi,현대차,005380,2025-01-09,330000,Buy,조희승,iM증권,0.8909,4,0.341,637919,4Q24 Preview: 펀더멘탈은 견조하지만… 현대차(005380) 4Q24 Preview: 펀더멘탈은 견조하지만… 4Q24 Preview: 
44,lo,현대차,005380,2025-01-13,280000,Buy,이재일,유진투자증권,0.55,4,0.341,637988,4Q24 Preview: 오히려 좋아 현대차(005380) 4Q24 Preview: 오히려 좋아 4Q24 Preview: 오히려 좋아
45,hi,한화생명,088350,2024-02-26,2500,Hold,정태준,유안타증권,0.962,4,0.338,628422,"유감스러운 주주환원과 실적 한화생명(088350) 유감스러운 주주환원과 실적 투자의견 HOLD로 하향, 목표주가 2,500원으로 하향"
45,lo,한화생명,088350,2024-02-22,4200,Buy,김도하,한화투자증권,0.6238,4,0.338,628336,2024년 말 CSM 10조원대 추정 한화생명(088350) 2024년 말 CSM 10조원대 추정 4Q23 순이익 384억원(+447% YoY)
46,hi,고려아연,010130,2024-01-16,600000,Buy,김윤상,하이투자증권,0.6183,5,0.334,627224,업종 최선호주. 지금부터는 신사업 정상화도 절실 고려아연(010130) 업종 최선호주. 지금부터는 신사업 정상화도 절실 업종 최선호주. 지금부터
46,lo,고려아연,010130,2024-01-11,510000,Hold,이현수,유안타증권,0.2843,5,0.334,627075,"P&Q는 안정 예상, 변동성은 C에서 고려아연(010130) P&Q는 안정 예상, 변동성은 C에서 4Q23(E): 영업이익 1,870억원 추정 "
47,hi,신세계,004170,2025-02-06,220000,Buy,이진협,한화투자증권,0.5023,0,0.333,638707,4Q24 Review : 더 이상 후순위가 아니다 신세계(004170) 4Q24 Review : 더 이상 후순위가 아니다 4Q24 Review
47,lo,신세계,004170,2025-02-06,180000,Buy,오린아,LS증권,0.1694,0,0.333,638710,일회성 비용의 그림자 신세계(004170) 일회성 비용의 그림자 일회성 비용의 그림자
48,hi,카카오뱅크,323410,2024-02-13,24000,Hold,정의훈,유진투자증권,0.9854,6,0.333,627922,막기 힘든 신작 매출 감소 카카오뱅크(323410) 막기 힘든 신작 매출 감소 막기 힘든 신작 매출 감소
48,lo,카카오뱅크,323410,2024-02-07,36000,Buy,박혜진,대신증권,0.6528,6,0.333,627842,대환은 카뱅이다! 카카오뱅크(323410) 대환은 카뱅이다! 대환은 카뱅이다!
49,hi,엔씨소프트,036570,2024-02-13,210000,Hold,정의훈,유진투자증권,0.829,0,0.332,627918,잠시 길을 잃다 엔씨소프트(036570) 잠시 길을 잃다 잠시 길을 잃다
49,lo,엔씨소프트,036570,2024-02-13,350000,Buy,"이효진,강하라",메리츠증권,0.4974,0,0.332,627969,배수진을 칠 때 엔씨소프트(036570) 배수진을 칠 때 배수진을 칠 때
50,hi,JB금융지주,175330,2024-02-07,13500,매수,설용진,SK증권,0.5481,0,0.33,627825,30%를 상회하는 총 주주 환원율 달성 JB금융지주(175330) 30%를 상회하는 총 주주 환원율 달성 30%를 상회하는 총 주주 환원율 달성
50,lo,JB금융지주,175330,2024-02-07,11000,Hold,정태준,유안타증권,0.2182,0,0.33,627846,"가이던스 부합 예상 JB금융지주(175330) 가이던스 부합 예상 투자의견 HOLD 유지, 목표주가 11,000원으로 상향"
51,hi,넷마블,251270,2024-05-10,51000,Hold,이효진,메리츠증권,0.9902,0,0.33,630960,"나혼렙 성공적 런칭, 그 후 넷마블(251270) 나혼렙 성공적 런칭, 그 후 마케팅 비용 2분기로 이연된 점 제외하면 무난했던 1분기"
