label,analyst,broker,sector,award,both_awards,date,company,code,opinion,subtitle,target,price_then,pid
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-15,롯데쇼핑,023530,매수유지,2Q26 Preview,230000,117300,836196
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-15,현대백화점,069960,매수유지,2Q26 Preview,220000,118800,836195
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-15,신세계,004170,매수유지,2Q26 Preview,850000,423000,836194
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-15,GS리테일,007070,매수유지,2Q26 Preview,32000,24750,836193
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-15,BGF리테일,282330,매수유지,2Q26 Preview,170000,125000,836192
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-10,케이티앤지,033780,매수유지,중간배당과 새로운 주주환원정책 발표에 주목,220000,179100,835736
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-30,GS리테일,007070,매수유지,"양호한 실적 흐름 감안하면, 주가 조정은 기회",32000,24750,824910
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-23,CJ프레시웨이,051500,매수유지,새로운 시장을 여는 플랫폼 리더로 도약 중,39000,22550,824559
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-22,에르코스,435570,Not Rated,2026년은 새로운 도전을 해요,0,6710,824502
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-10,롯데쇼핑,023530,매수유지,"2Q 기존점 +14%, 목표주가 23만원으로 상향",230000,117300,823992
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-10,현대백화점,069960,매수유지,"2Q 기존점 +16%, 목표주가 22만원으로 상향",220000,118800,823991
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-10,신세계,004170,매수유지,"2Q 기존점 +25%, 목표주가 85만원으로 상향",850000,423000,823990
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-06-08,이마트,139480,매수유지,추가로 나올 악재가 있을까,120000,79800,823820
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,CJ제일제당,097950,매수유지,2분기부터 바이오 반등 전망,310000,191400,822821
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,오리온,271560,매수유지,중국 매출 성장률 회복에 주목,175000,131800,822820
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,케이티앤지,033780,매수유지,하반기 新 주주환원정책 기대,220000,179100,822819
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,삼양식품,003230,매수유지,수요 호조에 대응하는 Capa 확대,1850000,1168000,822818
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,롯데쇼핑,023530,매수유지,탄력 받은 실적 개선,200000,117300,822817
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,현대백화점,069960,매수유지,하반기 증익 전환 기대,147000,118800,822816
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-20,신세계,004170,매수유지,하반기도 탄탄대로,630000,423000,822815
