pair_id,label,company,code,date,analysts,broker,opinion,target,price_then,gap_days,pid,report_url
40,winner,현대글로비스,086280,2026-07-24,최고운,한국투자증권,매수,330000,200000,0,836829,https://www.equity.co.kr/research/researchPop.do?P_ID=836829
40,control,현대글로비스,086280,2026-07-24,최지운,유안타증권,,0,200000,0,836870,https://www.equity.co.kr/research/researchPop.do?P_ID=836870
41,winner,현대글로비스,086280,2026-07-24,"강성진,김지윤",KB증권,매수유지,360000,200000,0,836718,https://www.equity.co.kr/research/researchPop.do?P_ID=836718
41,control,현대글로비스,086280,2026-07-24,류제현,미래에셋증권,매수유지,310000,200000,0,836856,https://www.equity.co.kr/research/researchPop.do?P_ID=836856
42,winner,현대모비스,012330,2026-07-27,"강성진,김지윤",KB증권,매수유지,900000,476000,0,836883,https://www.equity.co.kr/research/researchPop.do?P_ID=836883
42,control,현대모비스,012330,2026-07-27,김진석,미래에셋증권,매수유지,920000,476000,0,837057,https://www.equity.co.kr/research/researchPop.do?P_ID=837057
43,winner,현대모비스,012330,2026-06-02,"강성진,김지윤",KB증권,매수유지,1200000,476000,0,823680,https://www.equity.co.kr/research/researchPop.do?P_ID=823680
43,control,현대모비스,012330,2026-06-02,"김준성,배현서",메리츠증권,매수,900000,476000,0,823683,https://www.equity.co.kr/research/researchPop.do?P_ID=823683
44,winner,현대백화점,069960,2026-05-07,주영훈,NH투자증권,매수유지,140000,118800,0,821121,https://www.equity.co.kr/research/researchPop.do?P_ID=821121
44,control,현대백화점,069960,2026-05-07,배송이,미래에셋증권,매수유지,150000,118800,0,821188,https://www.equity.co.kr/research/researchPop.do?P_ID=821188
45,winner,현대백화점,069960,2026-05-07,"박상준,권용일",키움증권,매수유지,147000,118800,0,821078,https://www.equity.co.kr/research/researchPop.do?P_ID=821078
45,control,현대백화점,069960,2026-05-07,박종렬,흥국증권,매수유지,140000,118800,0,821113,https://www.equity.co.kr/research/researchPop.do?P_ID=821113
46,winner,현대자동차,005380,2026-07-24,"강성진,김지윤",KB증권,매수유지,900000,388000,0,836715,https://www.equity.co.kr/research/researchPop.do?P_ID=836715
46,control,현대자동차,005380,2026-07-24,김진석,미래에셋증권,매수유지,840000,388000,0,836855,https://www.equity.co.kr/research/researchPop.do?P_ID=836855
47,winner,현대자동차,005380,2026-07-21,"강성진,김지윤",KB증권,매수유지,900000,388000,0,836422,https://www.equity.co.kr/research/researchPop.do?P_ID=836422
47,control,현대자동차,005380,2026-07-21,김귀연,대신증권,매수,740000,388000,0,836538,https://www.equity.co.kr/research/researchPop.do?P_ID=836538
48,winner,현대제철,004020,2026-05-26,박성봉,하나증권,매수,50000,26350,0,823069,https://www.equity.co.kr/research/researchPop.do?P_ID=823069
48,control,현대제철,004020,2026-05-26,최용현,KB증권,매수,0,26350,0,823256,https://www.equity.co.kr/research/researchPop.do?P_ID=823256
49,winner,현대제철,004020,2026-04-27,"박성봉,김승규",하나증권,매수유지,50000,26350,0,819763,https://www.equity.co.kr/research/researchPop.do?P_ID=819763
49,control,현대제철,004020,2026-04-27,김기룡,미래에셋증권,매수유지,55000,26350,0,819895,https://www.equity.co.kr/research/researchPop.do?P_ID=819895
50,winner,SK하이닉스,000660,2026-07-27,김선우,메리츠증권,매수,3100000,1718000,1,837050,https://www.equity.co.kr/research/researchPop.do?P_ID=837050
50,control,SK하이닉스,000660,2026-07-28,손인준,유진투자증권,강력매수,3700000,1718000,1,837222,https://www.equity.co.kr/research/researchPop.do?P_ID=837222
