label,rank,score,company,code,subtitle,date,opinion,analyst,broker,target_price,price_then,pid
good,18,150,LG생활건강,051900,"나아지는 흐름이지만, 여전히 부담 요인 상존",2026-05-04,보유,권우정,교보증권,"280,000","287,000",820773
good,19,150,LG생활건강,051900,이익 눈높이는 상향하되 보수적 접근 필요,2026-05-04,보유,"한유정,고예진",한화투자증권,"280,000","287,000",820694
good,20,145,DL이앤씨,375500,4Q25 Review: 의지만 확인된다면,2026-02-09,보유,박영도,다올투자증권,"49,000","58,500",814852
good,21,130,대우건설,047040,겪어봤던 레퍼토리(repertory),2026-02-10,매수유지,김진범,상상인증권,"7,500","12,780",815136
good,22,130,대우건설,047040,악동 대우의 귀환,2026-02-10,매수,"박세라,권혁",신영증권,"7,500","12,780",815100
good,23,127,삼성전기,009150,Inflection Point,2026-03-10,매수유지,황지현,NH투자증권,"460,000","1,142,000",816557
good,24,127,주성엔지니어링,036930,올해는 다시 좋아진다,2026-02-04,매수유지,이민희,BNK투자증권,"54,000","124,500",814081
good,25,124,SK이터닉스,475150,Got Wings(NDR 후기),2026-02-13,매수유지,박세라,신영증권,"30,000","45,450",815613
good,26,117,대우건설,047040,"지방 리스크 해소, 원전 시공 가치 재부각",2026-02-04,매수유지,이은상,NH투자증권,"6,200","12,780",814151
good,27,108,삼성전기,009150,두려움보다는 설렘으로,2026-03-05,매수유지,김연미,다올투자증권,"470,000","1,142,000",816416
good,28,104,삼성전기,009150,나는 이 게임을 해봤어요!,2026-02-20,매수,"이종욱,김경빈",삼성증권,"450,000","1,142,000",815781
good,29,99,삼성생명,032830,점진적 주주환원 확대,2026-02-23,보유,전배승,LS증권,"240,000","311,500",815888
good,30,92,금호건설,002990,[4Q25 Review] 눈높이를 높일 여지는 분명히 존재,2026-02-09,매수유지,김진범,상상인증권,"5,000","9,110",814891
good,31,89,대우건설,047040,"익숙한 빅배스, 잘 때 생각 많이 날 거야",2026-02-10,매수유지,신대현,키움증권,"7,700","12,780",815054
good,32,87,대우건설,047040,4Q25 Preview: 체코 원전 수주를 기다리며,2026-02-03,매수유지,이상호,교보증권,"6,000","12,780",814063
good,33,78,삼성전기,009150,글로벌 선도 기업으로 도약. 기술 경쟁력에 주목할 시점.,2026-03-11,매수유지,신한투자증권,신한투자증권,"500,000","1,142,000",816636
good,34,77,대우건설,047040,본업 안정 위에 쌓는 원전 탑,2026-02-10,매수유지,이은상,NH투자증권,"7,800","12,780",815067
good,35,75,삼성전기,009150,"기판, 살판 났다",2026-03-05,매수유지,박준서,미래에셋증권,"500,000","1,142,000",816452
good,36,75,대우건설,047040,의견 상향. 트레이딩 관점의 접근 가능,2026-02-09,매수,"장문준,강민창",KB증권,"6,700","12,780",814930
good,37,73,주성엔지니어링,036930,단기 실적 보다는 수주 증가 모멘텀에 주목,2026-02-13,매수유지,이민희,BNK투자증권,"61,000","124,500",815585
good,38,73,대우건설,047040,"원전, 어디까지 반영해줘야 하나?",2026-02-11,매수,문경원,메리츠증권,"8,200","12,780",815200
good,39,71,삼성전기,009150,"[1Q26 Preview] 새로운 역사가 진행, 추가로 도약을 예상",2026-03-25,매수유지,"박강호,서지원",대신증권,"550,000","1,142,000",817259
good,40,71,삼성전기,009150,아직 호황의 초입,2026-03-25,매수유지,김민경,하나증권,"550,000","1,142,000",817251
good,41,68,대우건설,047040,"대규모 적자 시현, 보다 뚜렷해진 투자포인트",2026-02-10,매수유지,김기룡,미래에셋증권,"7,900","12,780",815109
good,42,67,LG이노텍,011070,"로봇산업 진출, P와 Q의 확대",2026-02-26,매수유지,최보영,교보증권,"370,000","514,000",816142
good,43,63,LG이노텍,011070,"1Q26E 호실적 예상, 밸류에이션 프리미엄 부각",2026-04-01,매수유지,조현지,DB증권,"370,000","514,000",817593
good,44,63,LG전자,066570,다시 봄의 주식,2026-02-03,매수유지,최보영,교보증권,"110,000","162,100",814023
good,45,62,LG전자,066570,악재만 반영한 주가,2026-04-08,매수유지,고의영,iM증권,"124,000","162,100",818073
good,46,60,삼성전기,009150,곳간에 쌀이 넘침,2026-04-07,매수유지,조현지,DB증권,"570,000","1,142,000",817999
